"fltdate","Origin","n"
"1",2008-01-01,"BWI",270
"2",2008-01-01,"DCA",196
"3",2008-01-01,"IAD",216
"4",2008-01-02,"BWI",311
"5",2008-01-02,"DCA",232
"6",2008-01-02,"IAD",229
"7",2008-01-03,"BWI",311
"8",2008-01-03,"DCA",239
"9",2008-01-03,"IAD",231
"10",2008-01-04,"BWI",310
"11",2008-01-04,"DCA",239
"12",2008-01-04,"IAD",232
"13",2008-01-05,"BWI",261
"14",2008-01-05,"DCA",168
"15",2008-01-05,"IAD",218
"16",2008-01-06,"BWI",289
"17",2008-01-06,"DCA",210
"18",2008-01-06,"IAD",231
"19",2008-01-07,"BWI",304
"20",2008-01-07,"DCA",260
"21",2008-01-07,"IAD",227
"22",2008-01-08,"BWI",290
"23",2008-01-08,"DCA",259
"24",2008-01-08,"IAD",220
"25",2008-01-09,"BWI",294
"26",2008-01-09,"DCA",260
"27",2008-01-09,"IAD",219
"28",2008-01-10,"BWI",300
"29",2008-01-10,"DCA",260
"30",2008-01-10,"IAD",222
"31",2008-01-11,"BWI",300
"32",2008-01-11,"DCA",260
"33",2008-01-11,"IAD",224
"34",2008-01-12,"BWI",246
"35",2008-01-12,"DCA",158
"36",2008-01-12,"IAD",202
"37",2008-01-13,"BWI",264
"38",2008-01-13,"DCA",210
"39",2008-01-13,"IAD",212
"40",2008-01-14,"BWI",298
"41",2008-01-14,"DCA",259
"42",2008-01-14,"IAD",221
"43",2008-01-15,"BWI",291
"44",2008-01-15,"DCA",259
"45",2008-01-15,"IAD",218
"46",2008-01-16,"BWI",294
"47",2008-01-16,"DCA",260
"48",2008-01-16,"IAD",215
"49",2008-01-17,"BWI",300
"50",2008-01-17,"DCA",260
"51",2008-01-17,"IAD",223
"52",2008-01-18,"BWI",300
"53",2008-01-18,"DCA",260
"54",2008-01-18,"IAD",224
"55",2008-01-19,"BWI",229
"56",2008-01-19,"DCA",157
"57",2008-01-19,"IAD",202
"58",2008-01-20,"BWI",263
"59",2008-01-20,"DCA",205
"60",2008-01-20,"IAD",210
"61",2008-01-21,"BWI",298
"62",2008-01-21,"DCA",250
"63",2008-01-21,"IAD",222
"64",2008-01-22,"BWI",291
"65",2008-01-22,"DCA",259
"66",2008-01-22,"IAD",218
"67",2008-01-23,"BWI",294
"68",2008-01-23,"DCA",260
"69",2008-01-23,"IAD",216
"70",2008-01-24,"BWI",300
"71",2008-01-24,"DCA",260
"72",2008-01-24,"IAD",222
"73",2008-01-25,"BWI",300
"74",2008-01-25,"DCA",260
"75",2008-01-25,"IAD",223
"76",2008-01-26,"BWI",229
"77",2008-01-26,"DCA",158
"78",2008-01-26,"IAD",202
"79",2008-01-27,"BWI",264
"80",2008-01-27,"DCA",208
"81",2008-01-27,"IAD",211
"82",2008-01-28,"BWI",298
"83",2008-01-28,"DCA",259
"84",2008-01-28,"IAD",221
"85",2008-01-29,"BWI",291
"86",2008-01-29,"DCA",259
"87",2008-01-29,"IAD",218
"88",2008-01-30,"BWI",294
"89",2008-01-30,"DCA",260
"90",2008-01-30,"IAD",216
"91",2008-01-31,"BWI",299
"92",2008-01-31,"DCA",260
"93",2008-01-31,"IAD",221
"94",2008-02-01,"BWI",299
"95",2008-02-01,"DCA",260
"96",2008-02-01,"IAD",224
"97",2008-02-02,"BWI",228
"98",2008-02-02,"DCA",154
"99",2008-02-02,"IAD",202
"100",2008-02-03,"BWI",263
"101",2008-02-03,"DCA",209
"102",2008-02-03,"IAD",211
"103",2008-02-04,"BWI",296
"104",2008-02-04,"DCA",260
"105",2008-02-04,"IAD",222
"106",2008-02-05,"BWI",288
"107",2008-02-05,"DCA",259
"108",2008-02-05,"IAD",215
"109",2008-02-06,"BWI",290
"110",2008-02-06,"DCA",259
"111",2008-02-06,"IAD",216
"112",2008-02-07,"BWI",295
"113",2008-02-07,"DCA",260
"114",2008-02-07,"IAD",222
"115",2008-02-08,"BWI",296
"116",2008-02-08,"DCA",260
"117",2008-02-08,"IAD",224
"118",2008-02-09,"BWI",225
"119",2008-02-09,"DCA",154
"120",2008-02-09,"IAD",202
"121",2008-02-10,"BWI",261
"122",2008-02-10,"DCA",209
"123",2008-02-10,"IAD",212
"124",2008-02-11,"BWI",295
"125",2008-02-11,"DCA",260
"126",2008-02-11,"IAD",222
"127",2008-02-12,"BWI",288
"128",2008-02-12,"DCA",259
"129",2008-02-12,"IAD",216
"130",2008-02-13,"BWI",293
"131",2008-02-13,"DCA",259
"132",2008-02-13,"IAD",221
"133",2008-02-14,"BWI",301
"134",2008-02-14,"DCA",265
"135",2008-02-14,"IAD",230
"136",2008-02-15,"BWI",301
"137",2008-02-15,"DCA",265
"138",2008-02-15,"IAD",231
"139",2008-02-16,"BWI",235
"140",2008-02-16,"DCA",161
"141",2008-02-16,"IAD",204
"142",2008-02-17,"BWI",262
"143",2008-02-17,"DCA",201
"144",2008-02-17,"IAD",217
"145",2008-02-18,"BWI",299
"146",2008-02-18,"DCA",252
"147",2008-02-18,"IAD",229
"148",2008-02-19,"BWI",298
"149",2008-02-19,"DCA",264
"150",2008-02-19,"IAD",231
"151",2008-02-20,"BWI",301
"152",2008-02-20,"DCA",265
"153",2008-02-20,"IAD",227
"154",2008-02-21,"BWI",301
"155",2008-02-21,"DCA",265
"156",2008-02-21,"IAD",230
"157",2008-02-22,"BWI",301
"158",2008-02-22,"DCA",265
"159",2008-02-22,"IAD",229
"160",2008-02-23,"BWI",236
"161",2008-02-23,"DCA",163
"162",2008-02-23,"IAD",205
"163",2008-02-24,"BWI",266
"164",2008-02-24,"DCA",215
"165",2008-02-24,"IAD",221
"166",2008-02-25,"BWI",301
"167",2008-02-25,"DCA",265
"168",2008-02-25,"IAD",229
