"Origin","Month","DayOfWeek","n","DayName","MonName"
"1","BWI",1,1,1198,"Mon","January"
"2","BWI",1,2,1433,"Tues","January"
"3","BWI",1,3,1487,"Wed","January"
"4","BWI",1,4,1510,"Thur","January"
"5","BWI",1,5,1210,"Fri","January"
"6","BWI",1,6,965,"Sat","January"
"7","BWI",1,7,1080,"Sun","January"
"8","BWI",2,1,1191,"Mon","February"
"9","BWI",2,2,1171,"Tues","February"
"10","BWI",2,3,1183,"Wed","February"
"11","BWI",2,4,1198,"Thur","February"
"12","BWI",2,5,1498,"Fri","February"
"13","BWI",2,6,924,"Sat","February"
"14","BWI",2,7,1052,"Sun","February"
"15","BWI",3,1,1480,"Mon","March"
"16","BWI",3,2,1185,"Tues","March"
"17","BWI",3,3,1189,"Wed","March"
"18","BWI",3,4,1193,"Thur","March"
"19","BWI",3,5,1197,"Fri","March"
"20","BWI",3,6,1241,"Sat","March"
"21","BWI",3,7,1375,"Sun","March"
"22","BWI",4,1,1177,"Mon","April"
"23","BWI",4,2,1465,"Tues","April"
"24","BWI",4,3,1476,"Wed","April"
"25","BWI",4,4,1189,"Thur","April"
"26","BWI",4,5,1193,"Fri","April"
"27","BWI",4,6,999,"Sat","April"
"28","BWI",4,7,1116,"Sun","April"
"29","BWI",5,1,1177,"Mon","May"
"30","BWI",5,2,1196,"Tues","May"
"31","BWI",5,3,1204,"Wed","May"
"32","BWI",5,4,1506,"Thur","May"
"33","BWI",5,5,1514,"Fri","May"
"34","BWI",5,6,1300,"Sat","May"
"35","BWI",5,7,1087,"Sun","May"
"36","BWI",6,1,1527,"Mon","June"
"37","BWI",6,2,1220,"Tues","June"
"38","BWI",6,3,1225,"Wed","June"
"39","BWI",6,4,1223,"Thur","June"
"40","BWI",6,5,1228,"Fri","June"
"41","BWI",6,6,1096,"Sat","June"
"42","BWI",6,7,1470,"Sun","June"
"43","BWI",7,1,1233,"Mon","July"
"44","BWI",7,2,1536,"Tues","July"
"45","BWI",7,3,1538,"Wed","July"
"46","BWI",7,4,1538,"Thur","July"
"47","BWI",7,5,1169,"Fri","July"
"48","BWI",7,6,1095,"Sat","July"
"49","BWI",7,7,1194,"Sun","July"
"50","BWI",8,1,1224,"Mon","August"
"51","BWI",8,2,1207,"Tues","August"
"52","BWI",8,3,1216,"Wed","August"
"53","BWI",8,4,1224,"Thur","August"
"54","BWI",8,5,1537,"Fri","August"
"55","BWI",8,6,1304,"Sat","August"
"56","BWI",8,7,1391,"Sun","August"
"57","BWI",9,1,1419,"Mon","September"
"58","BWI",9,2,1416,"Tues","September"
"59","BWI",9,3,1141,"Wed","September"
"60","BWI",9,4,1151,"Thur","September"
"61","BWI",9,5,1158,"Fri","September"
"62","BWI",9,6,937,"Sat","September"
"63","BWI",9,7,1057,"Sun","September"
"64","BWI",10,1,1144,"Mon","October"
"65","BWI",10,2,1111,"Tues","October"
"66","BWI",10,3,1415,"Wed","October"
"67","BWI",10,4,1430,"Thur","October"
"68","BWI",10,5,1430,"Fri","October"
"69","BWI",10,6,920,"Sat","October"
"70","BWI",10,7,1046,"Sun","October"
"71","BWI",11,1,1147,"Mon","November"
"72","BWI",11,2,1126,"Tues","November"
"73","BWI",11,3,1139,"Wed","November"
"74","BWI",11,4,1063,"Thur","November"
"75","BWI",11,5,1109,"Fri","November"
"76","BWI",11,6,1206,"Sat","November"
"77","BWI",11,7,1316,"Sun","November"
"78","BWI",12,1,1410,"Mon","December"
"79","BWI",12,2,1388,"Tues","December"
"80","BWI",12,3,1265,"Wed","December"
"81","BWI",12,4,1065,"Thur","December"
"82","BWI",12,5,1121,"Fri","December"
"83","BWI",12,6,965,"Sat","December"
"84","BWI",12,7,1025,"Sun","December"
"85","DCA",1,1,1028,"Mon","January"
"86","DCA",1,2,1232,"Tues","January"
"87","DCA",1,3,1272,"Wed","January"
"88","DCA",1,4,1279,"Thur","January"
"89","DCA",1,5,1019,"Fri","January"
"90","DCA",1,6,641,"Sat","January"
"91","DCA",1,7,833,"Sun","January"
"92","DCA",2,1,1037,"Mon","February"
"93","DCA",2,2,1046,"Tues","February"
"94","DCA",2,3,1048,"Wed","February"
"95","DCA",2,4,1056,"Thur","February"
"96","DCA",2,5,1315,"Fri","February"
"97","DCA",2,6,632,"Sat","February"
"98","DCA",2,7,834,"Sun","February"
"99","DCA",3,1,1319,"Mon","March"
"100","DCA",3,2,1048,"Tues","March"
"101","DCA",3,3,1052,"Wed","March"
"102","DCA",3,4,1056,"Thur","March"
"103","DCA",3,5,1049,"Fri","March"
"104","DCA",3,6,809,"Sat","March"
"105","DCA",3,7,1065,"Sun","March"
"106","DCA",4,1,1065,"Mon","April"
"107","DCA",4,2,1311,"Tues","April"
"108","DCA",4,3,1328,"Wed","April"
"109","DCA",4,4,1062,"Thur","April"
"110","DCA",4,5,1062,"Fri","April"
"111","DCA",4,6,652,"Sat","April"
"112","DCA",4,7,882,"Sun","April"
"113","DCA",5,1,1030,"Mon","May"
"114","DCA",5,2,1044,"Tues","May"
